NAME,TMPTWEETSneg,TMPTWEETSpos,HILTWEETSneg,HILTWEETSpos
California,152,53,11,5
Rhode Island,6,6,7,1
Washington,113,45,47,25
Tennessee,26,14,15,6
Oklahoma,15,6,1,1
Vermont,2,3,1,60
Alaska,9,6,1,14
Delaware,8,1,1,7
Maryland,22,24,2,1
Georgia,53,24,160,2
Florida,117,41,2,41
New Mexico,10,3,28,1
North Carolina,28,18,14,17
Missouri,23,10,2,3
District of Columbia,6,7,5,9
Massachusetts,22,14,1,5
Iowa,12,4,109,5
Montana,5,3,48,2
National,0,0,1,5
Louisiana,20,8,2,6
New Jersey,43,33,10,2
Virgin Islands,0,0,6,13
Oregon,11,9,24,11
Connecticut,32,10,19,5
Wisconsin,16,4,12,2
Minnesota,18,6,1,9
Pennsylvania,34,12,2,4
New York,203,88,4,4
South Carolina,23,10,10,3
Hawaii,4,6,2,14
Maine,4,5,18,3
Northern Mariana Islands,0,0,2,32
Nebraska,5,2,14,23
Kentucky,14,5,31,1
Kansas,3,3,29,9
Mississippi,6,0,1,5
Virginia,27,13,23,2
Utah,6,3,12,10
Texas,97,48,26,3
South Dakota,3,1,4,1
Puerto Rico,2,4,8,3
Alabama,12,12,7,1
New Hampshire,17,4,12,3
Idaho,9,5,46,48
Michigan,56,11,16,3
American Samoa,0,0,87,1
North Dakota,1,2,36,11
Colorado,25,13,2,25
Nevada,12,3,41,1
Guam,0,0,13,80
Arkansas,2,2,10,45
Indiana,11,5,40,61
Wyoming,4,0,1,87
Ohio,43,13,3,177
Illinois,24,10,1,38
West Virginia,3,2,1,140
Arizona,29,14,18,90
Northeast Region,363,175,3,1314
Midwest Region,215,71,1,54
South Region,473,473,20,456
West Region,389,389,133,76
United States,1440,1440,5,245
